Artist Name,Thumbnail,Painting,Size,Medium,Price,Website,Instagram
Abigail Waddell,,Across the Avon Gorge,60 x 60 cm,Oil on Board,£475,abigailwaddellart.co.uk,awaddellart
Abigail Waddell,,Cornish Dusk,20 x 25 cm,Oil on Board,£225,abigailwaddellart.co.uk,awaddellart
Abigail Waddell,,The Lull Before the Storm,20 x 20 cm,Oil on Board,£195,abigailwaddellart.co.uk,awaddellart
Abigail Waddell,,Clifton Suspension Bridge,40 x 40 cm,Oil on Board,£395,abigailwaddellart.co.uk,awaddellart
Andrew Mill,,Windmill Hill,41 x 31 cm,"Ink, Watercolour, Acrylic on Paper",£150,,andrew.m111
Angelica Pownall,,Sekhmet,100 x 80 cm,Mixed Media on Canvas,"£1,500",angelicapownall.co.uk,angelica_pownall
Anne Elliott,,Last of the Summer,92 x 92 cm,Mixed Medium on Canvas,£780,,anneelliott1441
Becky Martin,,Sunrise Over the Gorge,31 x 41 cm,Water-based oils,Not for Sale,,
Charlie Peacock,,Golden Suspense,60 x 60 cm,"Diamond Dust, Gold Leaf Foil, Acrylic","£1,750",,charliepeacockart
Charlotte May,,Golden Evenings,42 x 30 cm,Oil on Canvas Paper,£150,,
Charlotte May,,Rolling Hills,28 x 21 cm,Oil,£75,,
Charlotte May,,Portland Bill Lighthouse,30 x 40 cm,Oil on Board,£95,,
Chloe Duncan,,Grazing at Stoke Park,42 x 29.7 cm,Gouache,£80,chloeduncanillustration.com,chloeduncan_art
Chloe Spindlove,,Leaf Litter,29.5 x 21 cm,Acrylic Mono Print and Ink,£60 (money goes towards low cost art therapy sessions by Hearth Therapy at Willway Yard),hearth-therapy.co.uk,hearththerapybristol
Chris Dye,,"Plymbridge Woods, Devon",51 x 36 cm,Watercolour,£300,chrisdye.co.uk,chrisd_paint
Chris Dye,,Early Morning Light Bristol Docks,51 x 36 cm,Watercolour,£350,chrisdye.co.uk,chrisd_paint
Chris Shopland,,Westonbirt Arboretum Sunlit Adventure,61 x 44 cm,Acrylic on Handmade Khadi Paper,£295,cjshopland.com,cjshopland_art
Chris Shopland,,Plein Air Christmas Steps,42 x 30 cm,Acrylic on Canvas,£295,cjshopland.com,cjshopland_art
Connel W. Francis,,Remembrance,52x5 x 70.5 cm,Silverpoint on Prepared Paper,£1600 (includes Art Glass),,connel.art and bigtonicframing
Connor Cox,,Bristol Suspension Bridge,13.5 x 28.5 cm,Watercolour on Paper,£150,,cnnr.cx
Connor Cox,,Windmill Hill City Farm,27.8 x 22.9 cm,Watercolour on Paper,£120,,cnnr.cx
Connor Cox,,Lord Mayor's Chapel,29cm x 35.5cm,Watercolour on Paper,£230,,cnnr.cx
Eddy Freshman,,Ashton Court,22 x 30 cm,Watercolour on Paper,£100,,eddy.freshman
Eddy Freshman,,Chew Stoke Waterfall,30 x 30 cm,Oil on Paper,£100,,eddy.freshman
Effie Lomax,,"Branches, Bristol Botanical Gardens",42 x 59 cm,Oil Pastel on Paper,£65,,effie__art
Elham Talay Minaei,,Hydranga Haze,50 x 40 cm,Watercolour on Paper,£300,elhamart.co.uk,ellie.t.minaei
Elham Talay Minaei,,Canopy Light,50 x 40 cm,Watercolour on Paper,£300,elhamart.co.uk,ellie.t.minaei
Eliza Vizard,,Magor Marsh,31 x 23 cm,Watercolour,£250,elizabvizard.com,elizaviz_art
Eliza Vizard,,"Sundown, Brandon Hill",18 x 13 cm,Oil on Canvas,£150,elizabvizard.com,elizaviz_art
Eliza Vizard,,Evening Walk on Brandon Hill,18 x 13 cm,Oil on Board,£215,elizabvizard.com,elizaviz_art
Fi Smith,,Kilmersdon Poppy Field,50 x 50 cm,Oil on Board,£500,fiwalksandpaintsthesw.co.uk,fiwalksandpaints
Fi Smith,,Kelston Roundhill from Prospect Stile,50 x 50 cm,Oil on Board,£500,fiwalksandpaintsthesw.co.uk,fiwalksandpaints
Fi Smith,,Cornish Wildflower Meadow,50 x 50 cm,Oil on Board,£500,fiwalksandpaintsthesw.co.uk,fiwalksandpaints
Fiona Read,,Cedar in Ashton Court,30 x 23 cm,Oil on Board,£250,,fionareadart
Frances Cooley,,Courgette Flower,90 x 70 cm,Oil on Canvas Board,£1125,francescooleyartist.com,frances.cooley.artist
Frances Cooley,,"St Nicholas Market, Bristol",30.5 x 25 cm,Oil on Canvas Board,£325,francescooleyartist.com,frances.cooley.artist
Frances Cooley,,"The Matthew Ship, Bristol Harbour",30 x 30 cm,Oil on Canvas Board,£375,francescooleyartist.com,frances.cooley.artist
Gail Reid,,Clifton Suspension Bridge at Low Tide,45 x 35 cm,Oil on Canvas Board,£400,gailreidartist.com,gailreidartist
Gail Reid,,Harbourside - Pero's Bridge,30 x 30 cm,Oil on Canvas Board,£350,gailreidartist.com,gailreidartist
Gail Reid,,Bristol Harbourside from Aboard The Matthew,41 x 30 cm,Oil on Canvas Board,£380,gailreidartist.com,gailreidartist
Gemma McLaughlin,,Ocean Splash,25 x 30 cm,Acrylic on Canvas,£190,whitevenice.art,whitevenice.art
Gemma McLaughlin,,Ocean Glow,25 x 30 cm,Acrylic on Canvas,£190,whitevenice.art,whitevenice.art
Georgina Dawson,,"Reawakening, Ashton Court",42.5 x 52.5 cm,Watercolour on Paper,£80,,dawson.georgina
Glen Berning,,Lee Bay ND / yellow blue and grey,140 x 140 cm,Acrylic on Canvas,£700,berningartdesign.com,glenberningart
Hannah,,Untitled,28 x 38 cm,Oil and Gold Acrylic on MDF,£180,,hannah_bristol_art
Helena Traill,,Clifton Observatory,25.5 x 20.5 cm,Oil on Board,£475,helenatraill.co.uk,helenatraill
Helena Traill,,Clifton Suspension Bridge,25 x 25 cm,Oil on Board,£350,helenatraill.co.uk,helenatraill
Helena Traill,,Westonbirt Arboretum (No. 271),20 x 26 cm,Oil on Board,Price on Application via enquiries@helenatraill.co.uk,helenatraill.co.uk,helenatraill
Helena Traill,,Garden of England,70 x 50 cm,Oil on Board,Price on Application via enquiries@helenatraill.co.uk,helenatraill.co.uk,helenatraill
Helena Traill,,Into the Woodland,61 x 45 cm,Oil on Board,Price on Application via enquiries@helenatraill.co.uk,helenatraill.co.uk,helenatraill
Ian Staniland,,Prince Street Bridge,76 x 50 cm,Acrylic on Board,£250,,
Jack Miller,,"Dame Emily Park, Bedminster",30 x 42 cm,Pen and Watercolour on Paper,Not for Sale,,jackmillerdrawings
Jenny Ibrahim,,Cornish Coast I,30 x 40 cm,Oil,£95,,
